****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
se**s	["e", "r", "s", "i", "n", "a"]	sea*s
sea*s	["e", "r", "s", "i", "n", "a", "t"]	sea*s
sea*s	["e", "r", "s", "i", "n", "a", "t", "u"]	sea*s
sea*s	["e", "r", "s", "i", "n", "a", "t", "u", "o"]	sea*s
sea*s	["e", "r", "s", "i", "n", "a", "t", "u", "o", "l"]	seals
****	["e"]	ee**
ee**	["e", "r"]	ee**
ee**	["e", "r", "n"]	ee**
ee**	["e", "r", "n", "s"]	ee*s
ee*s	["e", "r", "n", "s", "i"]	ee*s
ee*s	["e", "r", "n", "s", "i", "a"]	ee*s
ee*s	["e", "r", "n", "s", "i", "a", "u"]	ee*s
ee*s	["e", "r", "n", "s", "i", "a", "u", "o"]	ee*s
ee*s	["e", "r", "n", "s", "i", "a", "u", "o", "t"]	ee*s
ee*s	["e", "r", "n", "s", "i", "a", "u", "o", "t", "d"]	ee*s
ee*s	["e", "r", "n", "s", "i", "a", "u", "o", "t", "d", "l"]	eels
*****	["e"]	*****
*****	["e", "t"]	***t*
***t*	["e", "t", "i"]	*i*t*
*i*t*	["e", "t", "i", "a"]	*i*ta
*i*ta	["e", "t", "i", "a", "s"]	*ista
*ista	["e", "t", "i", "a", "s", "r"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c", "d"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c", "d", "n"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c", "d", "n", "p"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c", "d", "n", "p", "m"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c", "d", "n", "p", "m", "h"]	*ista
*ista	["e", "t", "i", "a", "s", "r", "l", "c", "d", "n", "p", "m", "h", "o"]	*ista
*****	["e"]	***e*
***e*	["e", "r"]	***e*
***e*	["e", "r", "s"]	***es
***es	["e", "r", "s", "t"]	**tes
**tes	["e", "r", "s", "t", "a"]	*ates
*ates	["e", "r", "s", "t", "a", "c"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l", "n"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l", "n", "p"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l", "n", "p", "m"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l", "n", "p", "m", "h"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l", "n", "p", "m", "h", "d"]	*ates
*ates	["e", "r", "s", "t", "a", "c", "i", "l", "n", "p", "m", "h", "d", "o"]	*ates
*****	["e"]	***e*
***e*	["e", "r"]	***er
***er	["e", "r", "t"]	**ter
**ter	["e", "r", "t", "a"]	**ter
**ter	["e", "r", "t", "a", "s"]	**ter
**ter	["e", "r", "t", "a", "s", "n"]	**ter
**ter	["e", "r", "t", "a", "s", "n", "i"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l", "c"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l", "c", "d"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l", "c", "d", "p"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l", "c", "d", "p", "m"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l", "c", "d", "p", "m", "h"]	*iter
*iter	["e", "r", "t", "a", "s", "n", "i", "l", "c", "d", "p", "m", "h", "o"]	*iter
*****	["e"]	***e*
***e*	["e", "r"]	***e*
***e*	["e", "r", "s"]	s**e*
s**e*	["e", "r", "s", "n"]	s**e*
s**e*	["e", "r", "s", "n", "t"]	s**e*
s**e*	["e", "r", "s", "n", "t", "d"]	s*ded
s*ded	["e", "r", "s", "n", "t", "d", "i"]	sided
***	["e"]	*e*
*e*	["e", "r"]	*e*
*e*	["e", "r", "s"]	se*
se*	["e", "r", "s", "n"]	se*
se*	["e", "r", "s", "n", "d"]	se*
se*	["e", "r", "s", "n", "d", "t"]	set
****	["e"]	*e**
*e**	["e", "r"]	*e**
*e**	["e", "r", "s"]	*e**
*e**	["e", "r", "s", "t"]	*e**
*e**	["e", "r", "s", "t", "n"]	*e**
*e**	["e", "r", "s", "t", "n", "d"]	de*d
de*d	["e", "r", "s", "t", "n", "d", "a"]	dead
****	["e"]	****
****	["e", "s"]	****
****	["e", "s", "t"]	***t
***t	["e", "s", "t", "a"]	***t
***t	["e", "s", "t", "a", "i"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n", "c"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n", "c", "o"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n", "c", "o", "r"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n", "c", "o", "r", "l"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n", "c", "o", "r", "l", "u"]	*i*t
*i*t	["e", "s", "t", "a", "i", "n", "c", "o", "r", "l", "u", "p"]	*i*t
****	["e"]	****
****	["e", "s"]	****
****	["e", "s", "t"]	****
****	["e", "s", "t", "r"]	****
****	["e", "s", "t", "r", "n"]	*n**
*n**	["e", "s", "t", "r", "n", "i"]	*n**
*n**	["e", "s", "t", "r", "n", "i", "a"]	ana*
ana*	["e", "s", "t", "r", "n", "i", "a", "l"]	anal
****	["e"]	***e
***e	["e", "r"]	***e
***e	["e", "r", "t"]	***e
***e	["e", "r", "t", "s"]	***e
***e	["e", "r", "t", "s", "i"]	*i*e
*i*e	["e", "r", "t", "s", "i", "n"]	ni*e
ni*e	["e", "r", "t", "s", "i", "n", "l"]	ni*e
ni*e	["e", "r", "t", "s", "i", "n", "l", "c"]	nice
***	["e"]	***
***	["e", "s"]	***
***	["e", "s", "t"]	***
***	["e", "s", "t", "r"]	***
***	["e", "s", "t", "r", "n"]	***
***	["e", "s", "t", "r", "n", "a"]	*a*
*a*	["e", "s", "t", "r", "n", "a", "l"]	*a*
*a*	["e", "s", "t", "r", "n", "a", "l", "c"]	*a*
*a*	["e", "s", "t", "r", "n", "a", "l", "c", "i"]	*a*
*a*	["e", "s", "t", "r", "n", "a", "l", "c", "i", "d"]	*a*
*a*	["e", "s", "t", "r", "n", "a", "l", "c", "i", "d", "p"]	*a*
*****	["e"]	*****
*****	["e", "t"]	*****
*****	["e", "t", "s"]	*****
*****	["e", "t", "s", "r"]	*****
*****	["e", "t", "s", "r", "a"]	*****
*****	["e", "t", "s", "r", "a", "i"]	*****
*****	["e", "t", "s", "r", "a", "i", "n"]	*****
*****	["e", "t", "s", "r", "a", "i", "n", "o"]	*o***
*o***	["e", "t", "s", "r", "a", "i", "n", "o", "l"]	*o***
*o***	["e", "t", "s", "r", "a", "i", "n", "o", "l", "c"]	*o***
*o***	["e", "t", "s", "r", "a", "i", "n", "o", "l", "c", "d"]	do*d*
do*d*	["e", "t", "s", "r", "a", "i", "n", "o", "l", "c", "d", "u"]	do*d*
******	["e"]	******
******	["e", "t"]	******
******	["e", "t", "s"]	******
******	["e", "t", "s", "r"]	******
******	["e", "t", "s", "r", "a"]	*a****
*a****	["e", "t", "s", "r", "a", "n"]	*a***n
*a***n	["e", "t", "s", "r", "a", "n", "i"]	*a***n
*a***n	["e", "t", "s", "r", "a", "n", "i", "o"]	*a*oon
*a*oon	["e", "t", "s", "r", "a", "n", "i", "o", "c"]	*a*oon
*a*oon	["e", "t", "s", "r", "a", "n", "i", "o", "c", "l"]	*a*oon
*a*oon	["e", "t", "s", "r", "a", "n", "i", "o", "c", "l", "p"]	*a*oon
*a*oon	["e", "t", "s", "r", "a", "n", "i", "o", "c", "l", "p", "d"]	*a*oon
*a*oon	["e", "t", "s", "r", "a", "n", "i", "o", "c", "l", "p", "d", "m"]	*a*oon
******	["e"]	******
******	["e", "t"]	******
******	["e", "t", "s"]	*****s
*****s	["e", "t", "s", "i"]	*****s
*****s	["e", "t", "s", "i", "a"]	**aa*s
**aa*s	["e", "t", "s", "i", "a", "n"]	**aa*s
**aa*s	["e", "t", "s", "i", "a", "n", "r"]	*raa*s
*raa*s	["e", "t", "s", "i", "a", "n", "r", "u"]	*raa*s
*raa*s	["e", "t", "s", "i", "a", "n", "r", "u", "o"]	*raa*s
*raa*s	["e", "t", "s", "i", "a", "n", "r", "u", "o", "l"]	*raals
*raals	["e", "t", "s", "i", "a", "n", "r", "u", "o", "l", "p"]	*raals
*raals	["e", "t", "s", "i", "a", "n", "r", "u", "o", "l", "p", "c"]	*raals
*raals	["e", "t", "s", "i", "a", "n", "r", "u", "o", "l", "p", "c", "d"]	*raals
*raals	["e", "t", "s", "i", "a", "n", "r", "u", "o", "l", "p", "c", "d", "g"]	*raals
********	["e"]	*****e**
*****e**	["e", "r"]	*****er*
*****er*	["e", "r", "t"]	*****er*
*****er*	["e", "r", "t", "i"]	*****er*
*****er*	["e", "r", "t", "i", "a"]	a****er*
a****er*	["e", "r", "t", "i", "a", "s"]	a***sers
a***sers	["e", "r", "t", "i", "a", "s", "n"]	a***sers
a***sers	["e", "r", "t", "i", "a", "s", "n", "o"]	a***sers
a***sers	["e", "r", "t", "i", "a", "s", "n", "o", "u"]	a**users
a**users	["e", "r", "t", "i", "a", "s", "n", "o", "u", "l"]	a**users
a**users	["e", "r", "t", "i", "a", "s", "n", "o", "u", "l", "c"]	accusers
********	["e"]	****e*e*
****e*e*	["e", "r"]	****e*e*
****e*e*	["e", "r", "t"]	****ete*
****ete*	["e", "r", "t", "s"]	****ete*
****ete*	["e", "r", "t", "s", "n"]	**nnete*
**nnete*	["e", "r", "t", "s", "n", "a"]	**nnete*
**nnete*	["e", "r", "t", "s", "n", "a", "i"]	**nnete*
**nnete*	["e", "r", "t", "s", "n", "a", "i", "o"]	*onnete*
*onnete*	["e", "r", "t", "s", "n", "a", "i", "o", "c"]	*onnete*
*onnete*	["e", "r", "t", "s", "n", "a", "i", "o", "c", "d"]	*onneted
*onneted	["e", "r", "t", "s", "n", "a", "i", "o", "c", "d", "p"]	*onneted
*onneted	["e", "r", "t", "s", "n", "a", "i", "o", "c", "d", "p", "l"]	*onneted
*onneted	["e", "r", "t", "s", "n", "a", "i", "o", "c", "d", "p", "l", "m"]	*onneted
*onneted	["e", "r", "t", "s", "n", "a", "i", "o", "c", "d", "p", "l", "m", "h"]	*onneted
*onneted	["e", "r", "t", "s", "n", "a", "i", "o", "c", "d", "p", "l", "m", "h", "b"]	bonneted
******	["e"]	*****e
*****e	["e", "r"]	**r**e
**r**e	["e", "r", "i"]	**r**e
**r**e	["e", "r", "i", "a"]	*ar**e
*ar**e	["e", "r", "i", "a", "t"]	*ar**e
*ar**e	["e", "r", "i", "a", "t", "s"]	*ar**e
*ar**e	["e", "r", "i", "a", "t", "s", "o"]	*aro*e
*aro*e	["e", "r", "i", "a", "t", "s", "o", "n"]	*aro*e
*aro*e	["e", "r", "i", "a", "t", "s", "o", "n", "l"]	*arole
*arole	["e", "r", "i", "a", "t", "s", "o", "n", "l", "c"]	*arole
*arole	["e", "r", "i", "a", "t", "s", "o", "n", "l", "c", "p"]	parole
*******	["e"]	****e**
****e**	["e", "r"]	**r*e**
**r*e**	["e", "r", "s"]	**r*e**
**r*e**	["e", "r", "s", "t"]	t*r*e**
t*r*e**	["e", "r", "s", "t", "n"]	t*r*e**
t*r*e**	["e", "r", "s", "t", "n", "l"]	t*r*e**
t*r*e**	["e", "r", "s", "t", "n", "l", "d"]	t*r*ed*
t*r*ed*	["e", "r", "s", "t", "n", "l", "d", "i"]	t*r*ed*
t*r*ed*	["e", "r", "s", "t", "n", "l", "d", "i", "a"]	t*r*ed*
t*r*ed*	["e", "r", "s", "t", "n", "l", "d", "i", "a", "o"]	tor*edo
tor*edo	["e", "r", "s", "t", "n", "l", "d", "i", "a", "o", "c"]	tor*edo
tor*edo	["e", "r", "s", "t", "n", "l", "d", "i", "a", "o", "c", "m"]	tor*edo
tor*edo	["e", "r", "s", "t", "n", "l", "d", "i", "a", "o", "c", "m", "u"]	tor*edo
tor*edo	["e", "r", "s", "t", "n", "l", "d", "i", "a", "o", "c", "m", "u", "p"]	torpedo
********	["e"]	********
********	["e", "t"]	***t****
***t****	["e", "t", "i"]	***t****
***t****	["e", "t", "i", "a"]	a**t*a**
a**t*a**	["e", "t", "i", "a", "r"]	a**tra**
a**tra**	["e", "t", "i", "a", "r", "n"]	a**tra**
a**tra**	["e", "t", "i", "a", "r", "n", "s"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l", "u"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l", "u", "o"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l", "u", "o", "c"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l", "u", "o", "c", "p"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l", "u", "o", "c", "p", "d"]	as*tra*s
as*tra*s	["e", "t", "i", "a", "r", "n", "s", "l", "u", "o", "c", "p", "d", "m"]	as*tra*s
********	["e"]	********
********	["e", "t"]	********
********	["e", "t", "r"]	********
********	["e", "t", "r", "s"]	*******s
*******s	["e", "t", "r", "s", "i"]	*******s
*******s	["e", "t", "r", "s", "i", "a"]	**a****s
**a****s	["e", "t", "r", "s", "i", "a", "n"]	**a****s
**a****s	["e", "t", "r", "s", "i", "a", "n", "o"]	**a**o*s
**a**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u"]	**a**o*s
**a**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u", "l"]	*la**o*s
*la**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u", "l", "c"]	*la**o*s
*la**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u", "l", "c", "p"]	pla**o*s
pla**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u", "l", "c", "p", "d"]	pla**o*s
pla**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u", "l", "c", "p", "d", "m"]	pla**o*s
pla**o*s	["e", "t", "r", "s", "i", "a", "n", "o", "u", "l", "c", "p", "d", "m", "g"]	pla**o*s
********	["e"]	e*******
e*******	["e", "r"]	e*******
e*******	["e", "r", "n"]	en******
en******	["e", "r", "n", "t"]	en******
en******	["e", "r", "n", "t", "a"]	en**a***
en**a***	["e", "r", "n", "t", "a", "l"]	en**a*l*
en**a*l*	["e", "r", "n", "t", "a", "l", "i"]	en*ia*l*
en*ia*l*	["e", "r", "n", "t", "a", "l", "i", "o"]	en*ia*l*
en*ia*l*	["e", "r", "n", "t", "a", "l", "i", "o", "y"]	en*ia*ly
en*ia*ly	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s"]	en*ia*ly
en*ia*ly	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c"]	en*ia*ly
en*ia*ly	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c", "b"]	en*iably
en*iably	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c", "b", "d"]	en*iably
en*iably	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c", "b", "d", "g"]	en*iably
en*iably	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c", "b", "d", "g", "m"]	en*iably
en*iably	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c", "b", "d", "g", "m", "u"]	en*iably
en*iably	["e", "r", "n", "t", "a", "l", "i", "o", "y", "s", "c", "b", "d", "g", "m", "u", "p"]	en*iably
*******	["e"]	******e
******e	["e", "r"]	*r****e
*r****e	["e", "r", "i"]	*r**i*e
*r**i*e	["e", "r", "i", "s"]	*r**i*e
*r**i*e	["e", "r", "i", "s", "n"]	*r**i*e
*r**i*e	["e", "r", "i", "s", "n", "t"]	*r**i*e
*r**i*e	["e", "r", "i", "s", "n", "t", "a"]	*ra*i*e
*ra*i*e	["e", "r", "i", "s", "n", "t", "a", "c"]	*ra*i*e
*ra*i*e	["e", "r", "i", "s", "n", "t", "a", "c", "o"]	*ra*i*e
*ra*i*e	["e", "r", "i", "s", "n", "t", "a", "c", "o", "l"]	*ra*ile
*ra*ile	["e", "r", "i", "s", "n", "t", "a", "c", "o", "l", "d"]	*ra*ile
*ra*ile	["e", "r", "i", "s", "n", "t", "a", "c", "o", "l", "d", "p"]	*ra*ile
*ra*ile	["e", "r", "i", "s", "n", "t", "a", "c", "o", "l", "d", "p", "m"]	*ra*ile
*ra*ile	["e", "r", "i", "s", "n", "t", "a", "c", "o", "l", "d", "p", "m", "b"]	*ra*ile
*ra*ile	["e", "r", "i", "s", "n", "t", "a", "c", "o", "l", "d", "p", "m", "b", "u"]	*ra*ile
******	["e"]	***e**
***e**	["e", "r"]	***er*
***er*	["e", "r", "t"]	***er*
***er*	["e", "r", "t", "s"]	***ers
***ers	["e", "r", "t", "s", "i"]	***ers
***ers	["e", "r", "t", "s", "i", "a"]	***ers
***ers	["e", "r", "t", "s", "i", "a", "n"]	***ers
***ers	["e", "r", "t", "s", "i", "a", "n", "l"]	l**ers
l**ers	["e", "r", "t", "s", "i", "a", "n", "l", "o"]	lo*ers
lo*ers	["e", "r", "t", "s", "i", "a", "n", "l", "o", "m"]	lo*ers
lo*ers	["e", "r", "t", "s", "i", "a", "n", "l", "o", "m", "d"]	lo*ers
lo*ers	["e", "r", "t", "s", "i", "a", "n", "l", "o", "m", "d", "c"]	lo*ers
lo*ers	["e", "r", "t", "s", "i", "a", "n", "l", "o", "m", "d", "c", "p"]	lo*ers
lo*ers	["e", "r", "t", "s", "i", "a", "n", "l", "o", "m", "d", "c", "p", "u"]	lo*ers
lo*ers	["e", "r", "t", "s", "i", "a", "n", "l", "o", "m", "d", "c", "p", "u", "g"]	lo*ers
********	["e"]	*e*****e
*e*****e	["e", "r"]	*e*****e
*e*****e	["e", "r", "s"]	*e*****e
*e*****e	["e", "r", "s", "t"]	*e****te
*e****te	["e", "r", "s", "t", "a"]	*e***ate
*e***ate	["e", "r", "s", "t", "a", "n"]	*e***ate
*e***ate	["e", "r", "s", "t", "a", "n", "i"]	*e***ate
*e***ate	["e", "r", "s", "t", "a", "n", "i", "c"]	*e***ate
*e***ate	["e", "r", "s", "t", "a", "n", "i", "c", "l"]	*el**ate
*el**ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o"]	*el**ate
*el**ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o", "y"]	*el**ate
*el**ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o", "y", "u"]	*el**ate
*el**ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o", "y", "u", "d"]	*el**ate
*el**ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o", "y", "u", "d", "p"]	*elp*ate
*elp*ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o", "y", "u", "d", "p", "h"]	help*ate
help*ate	["e", "r", "s", "t", "a", "n", "i", "c", "l", "o", "y", "u", "d", "p", "h", "m"]	helpmate
*******	["e"]	*****e*
*****e*	["e", "r"]	*****e*
*****e*	["e", "r", "t"]	*****e*
*****e*	["e", "r", "t", "s"]	*****es
*****es	["e", "r", "t", "s", "i"]	*****es
*****es	["e", "r", "t", "s", "i", "a"]	*****es
*****es	["e", "r", "t", "s", "i", "a", "n"]	*****es
*****es	["e", "r", "t", "s", "i", "a", "n", "l"]	*****es
*****es	["e", "r", "t", "s", "i", "a", "n", "l", "o"]	*o***es
*o***es	["e", "r", "t", "s", "i", "a", "n", "l", "o", "c"]	*o*c*es
*o*c*es	["e", "r", "t", "s", "i", "a", "n", "l", "o", "c", "h"]	*o*ches
*o*ches	["e", "r", "t", "s", "i", "a", "n", "l", "o", "c", "h", "u"]	*ouches
*ouches	["e", "r", "t", "s", "i", "a", "n", "l", "o", "c", "h", "u", "p"]	pouches
********	["e"]	**e*****
**e*****	["e", "r"]	r*e*****
r*e*****	["e", "r", "t"]	r*e*****
r*e*****	["e", "r", "t", "n"]	r*e*****
r*e*****	["e", "r", "t", "n", "s"]	r*e*****
r*e*****	["e", "r", "t", "n", "s", "l"]	r*e**ll*
r*e**ll*	["e", "r", "t", "n", "s", "l", "a"]	r*e**ll*
r*e**ll*	["e", "r", "t", "n", "s", "l", "a", "i"]	r*e**ll*
r*e**ll*	["e", "r", "t", "n", "s", "l", "a", "i", "o"]	r*e**ll*
r*e**ll*	["e", "r", "t", "n", "s", "l", "a", "i", "o", "y"]	r*e**lly
r*e**lly	["e", "r", "t", "n", "s", "l", "a", "i", "o", "y", "c"]	r*e**lly
r*e**lly	["e", "r", "t", "n", "s", "l", "a", "i", "o", "y", "c", "d"]	r*e**lly
r*e**lly	["e", "r", "t", "n", "s", "l", "a", "i", "o", "y", "c", "d", "u"]	rue*ully
rue*ully	["e", "r", "t", "n", "s", "l", "a", "i", "o", "y", "c", "d", "u", "m"]	rue*ully
rue*ully	["e", "r", "t", "n", "s", "l", "a", "i", "o", "y", "c", "d", "u", "m", "p"]	rue*ully
******	["e"]	******
******	["e", "t"]	******
******	["e", "t", "s"]	******
******	["e", "t", "s", "r"]	******
******	["e", "t", "s", "r", "a"]	******
******	["e", "t", "s", "r", "a", "i"]	******
******	["e", "t", "s", "r", "a", "i", "n"]	******
******	["e", "t", "s", "r", "a", "i", "n", "o"]	*o**o*
*o**o*	["e", "t", "s", "r", "a", "i", "n", "o", "l"]	*ollo*
*ollo*	["e", "t", "s", "r", "a", "i", "n", "o", "l", "c"]	*ollo*
*ollo*	["e", "t", "s", "r", "a", "i", "n", "o", "l", "c", "d"]	*ollo*
*ollo*	["e", "t", "s", "r", "a", "i", "n", "o", "l", "c", "d", "p"]	*ollo*
*******	["e"]	*******
*******	["e", "t"]	*******
*******	["e", "t", "s"]	*******
*******	["e", "t", "s", "r"]	**r****
**r****	["e", "t", "s", "r", "a"]	**r**a*
**r**a*	["e", "t", "s", "r", "a", "n"]	**r**a*
**r**a*	["e", "t", "s", "r", "a", "n", "l"]	**r**al
**r**al	["e", "t", "s", "r", "a", "n", "l", "i"]	**r*ial
**r*ial	["e", "t", "s", "r", "a", "n", "l", "i", "o"]	*or*ial
*or*ial	["e", "t", "s", "r", "a", "n", "l", "i", "o", "c"]	cor*ial
cor*ial	["e", "t", "s", "r", "a", "n", "l", "i", "o", "c", "d"]	cordial
******	["e"]	*****e
*****e	["e", "r"]	r****e
r****e	["e", "r", "i"]	ri***e
ri***e	["e", "r", "i", "n"]	ri***e
ri***e	["e", "r", "i", "n", "t"]	ri***e
ri***e	["e", "r", "i", "n", "t", "s"]	ri***e
ri***e	["e", "r", "i", "n", "t", "s", "l"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a", "o"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a", "o", "c"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a", "o", "c", "u"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a", "o", "c", "u", "p"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a", "o", "c", "u", "p", "b"]	ri**le
ri**le	["e", "r", "i", "n", "t", "s", "l", "a", "o", "c", "u", "p", "b", "d"]	riddle
*******	["e"]	*******
*******	["e", "t"]	****t**
****t**	["e", "t", "i"]	****t**
****t**	["e", "t", "i", "a"]	****ta*
****ta*	["e", "t", "i", "a", "s"]	***sta*
***sta*	["e", "t", "i", "a", "s", "n"]	***sta*
***sta*	["e", "t", "i", "a", "s", "n", "r"]	*r*sta*
*r*sta*	["e", "t", "i", "a", "s", "n", "r", "l"]	*r*stal
*r*stal	["e", "t", "i", "a", "s", "n", "r", "l", "o"]	*r*stal
*r*stal	["e", "t", "i", "a", "s", "n", "r", "l", "o", "u"]	*rustal
*rustal	["e", "t", "i", "a", "s", "n", "r", "l", "o", "u", "p"]	*rustal
*rustal	["e", "t", "i", "a", "s", "n", "r", "l", "o", "u", "p", "c"]	crustal
********	["e"]	********
********	["e", "t"]	********
********	["e", "t", "r"]	****r***
****r***	["e", "t", "r", "a"]	*a**r***
*a**r***	["e", "t", "r", "a", "i"]	*a**r***
*a**r***	["e", "t", "r", "a", "i", "o"]	*a**r***
*a**r***	["e", "t", "r", "a", "i", "o", "s"]	*a**r***
*a**r***	["e", "t", "r", "a", "i", "o", "s", "n"]	*a**rn**
*a**rn**	["e", "t", "r", "a", "i", "o", "s", "n", "c"]	*a**rn**
*a**rn**	["e", "t", "r", "a", "i", "o", "s", "n", "c", "d"]	*a**rn**
*a**rn**	["e", "t", "r", "a", "i", "o", "s", "n", "c", "d", "g"]	*a**rn**
*a**rn**	["e", "t", "r", "a", "i", "o", "s", "n", "c", "d", "g", "l"]	la**rn**
la**rn**	["e", "t", "r", "a", "i", "o", "s", "n", "c", "d", "g", "l", "u"]	la*urnu*
la*urnu*	["e", "t", "r", "a", "i", "o", "s", "n", "c", "d", "g", "l", "u", "m"]	la*urnum
la*urnum	["e", "t", "r", "a", "i", "o", "s", "n", "c", "d", "g", "l", "u", "m", "b"]	laburnum
******	["e"]	****e*
****e*	["e", "r"]	**r*e*
**r*e*	["e", "r", "s"]	**rse*
**rse*	["e", "r", "s", "a"]	**rse*
**rse*	["e", "r", "s", "a", "t"]	**rse*
**rse*	["e", "r", "s", "a", "t", "n"]	**rsen
**rsen	["e", "r", "s", "a", "t", "n", "o"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i", "l"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i", "l", "p"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i", "l", "p", "m"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i", "l", "p", "m", "h"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i", "l", "p", "m", "h", "d"]	*orsen
*orsen	["e", "r", "s", "a", "t", "n", "o", "c", "i", "l", "p", "m", "h", "d", "b"]	*orsen
*********	["e"]	****e****
****e****	["e", "r"]	****er***
****er***	["e", "r", "t"]	*t**er**t
*t**er**t	["e", "r", "t", "a"]	*t**era*t
*t**era*t	["e", "r", "t", "a", "s"]	*t**era*t
*t**era*t	["e", "r", "t", "a", "s", "n"]	*t*nerant
*t*nerant	["e", "r", "t", "a", "s", "n", "i"]	itinerant
*********	["e"]	*********
*********	["e", "t"]	********t
********t	["e", "t", "a"]	******a*t
******a*t	["e", "t", "a", "s"]	****ssa*t
****ssa*t	["e", "t", "a", "s", "n"]	****ssant
****ssant	["e", "t", "a", "s", "n", "i"]	***issant
***issant	["e", "t", "a", "s", "n", "i", "r"]	*r*issant
*r*issant	["e", "t", "a", "s", "n", "i", "r", "o"]	*roissant
*roissant	["e", "t", "a", "s", "n", "i", "r", "o", "p"]	*roissant
*roissant	["e", "t", "a", "s", "n", "i", "r", "o", "p", "c"]	croissant
*********	["e"]	**e******
**e******	["e", "r"]	**e***r**
**e***r**	["e", "r", "a"]	**e*a*r**
**e*a*r**	["e", "r", "a", "t"]	t*e*a*r**
t*e*a*r**	["e", "r", "a", "t", "i"]	t*e*a*r**
t*e*a*r**	["e", "r", "a", "t", "i", "o"]	t*e*a*r**
